IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),,
[2606:4700:22:e6:f275:5a5d:8a60:57ae],4,4,0,55.53,13.32,[,]
[2606:4700:22:e6:f275:582:2973:b5ad],4,4,0,55.9,13.31,[,]
[2606:4700:22:51e0:20cf:a0ec:42aa:74d2],4,4,0,55.42,13.31,[,]
[2606:4700:22:51e0:3d7f:e41f:7760:136c],4,4,0,56.02,13.27,[,]
[2606:4700:22:51e0:2003:574b:474b:4a5d],4,4,0,56,13.21,[,]
[2606:4700:22:e6:f275:6214:bfed:e23d],4,4,0,56,12.95,[,]
[2606:4700:22:e6:f275:5a5d:3af2:e620],4,4,0,55.65,12.92,[,]
[2606:4700:22:e6:f275:6214:bea4:a314],4,4,0,56.04,11.36,[,]
[2606:4700:22:e6:f275:582:29fc:67c2],4,4,0,56.03,11,[,]
[2606:4700:22:e6:f275:582:29ef:9a6a],4,4,0,56.03,10.99,[,]
2606:4700:22:e6:f275:5a5d:8a60:57ae,,,,,,,
2606:4700:22:e6:f275:582:2973:b5ad,,,,,,,
2606:4700:22:51e0:20cf:a0ec:42aa:74d2,,,,,,,
2606:4700:22:51e0:3d7f:e41f:7760:136c,,,,,,,
2606:4700:22:51e0:2003:574b:474b:4a5d,,,,,,,
2606:4700:22:e6:f275:6214:bfed:e23d,,,,,,,
2606:4700:22:e6:f275:5a5d:3af2:e620,,,,,,,
2606:4700:22:e6:f275:6214:bea4:a314,,,,,,,
2606:4700:22:e6:f275:582:29fc:67c2,,,,,,,
2606:4700:22:e6:f275:582:29ef:9a6a,,,,,,,
